"bus_stop_id";"bus_line";"query_datetime"
3065;172;2018-05-20 23:59:50
3280;136;2018-05-20 23:59:47
4055;711;2018-05-20 23:59:49
3100;148;2018-05-20 23:59:44
2018;125;2018-05-20 23:59:50
7011;N31;2018-05-20 23:59:50
3267;N36;2018-05-20 23:59:45
3202;N34;2018-05-20 23:59:46
3308;167;2018-05-20 23:59:43
3169;709;2018-05-20 23:59:44
4046;N85;2018-05-20 23:59:48
5065;N43;2018-05-20 23:59:49
3066;N31;2018-05-20 23:59:45
4028;N32;2018-05-20 23:59:46
2022;704;2018-05-20 23:59:44
3012;709;2018-05-20 23:59:45
3254;189;2018-05-20 23:59:48
3035;116;2018-05-20 23:59:47
3094;N03;2018-05-20 23:59:48
4033;N32;2018-05-20 23:59:47
2146;N02;2018-05-20 23:59:46
1282;N02;2018-05-20 23:59:44
4275;707;2018-05-20 23:59:42
2102;N02;2018-05-20 23:59:43
1001;N71;2018-05-20 23:59:46
7086;N21;2018-05-20 23:59:50
1286;N14;2018-05-20 23:59:45
3122;179;2018-05-20 23:59:46
1003;N03;2018-05-20 23:59:48
3131;179;2018-05-20 23:59:46
1152;118;2018-05-20 23:59:46
2279;N21;2018-05-20 23:59:50
7014;N64;2018-05-20 23:59:48
1277;152;2018-05-20 23:59:43
4003;157;2018-05-20 23:59:50
5040;178;2018-05-20 23:59:45
7015;N41;2018-05-20 23:59:46
1005;Z20;2018-05-20 23:59:47
5086;N41;2018-05-20 23:59:49
1110;152;2018-05-20 23:59:46
6026;708;2018-05-20 23:59:46
2015;502;2018-05-20 23:59:49
4225;127;2018-05-20 23:59:51
3281;503;2018-05-20 23:59:48
3057;108;2018-05-20 23:59:48
3034;164;2018-05-20 23:59:47
6026;203;2018-05-20 23:59:46
2038;119;2018-05-20 23:59:53
5065;N01;2018-05-20 23:59:54
4157;715;2018-05-20 23:59:54
