bus_stop_id;line_id;query_datetime
2131;138;2018-05-24 17:18:34
3234;119;2018-05-22 15:44:06
7002;160;2018-05-25 13:28:54
1152;500;2018-05-25 06:40:34
1182;304;2018-05-21 16:11:07
6015;150;2018-05-25 14:53:22
6018;150;2018-05-22 07:58:03
4003;191;2018-05-23 19:01:20
3057;162;2018-05-23 09:55:26
1298;186;2018-05-22 18:34:21
7042;116;2018-05-24 19:12:49
3400;166;2018-05-21 17:08:27
7071;502;2018-05-25 10:47:56
5040;105;2018-05-25 14:46:11
4005;191;2018-05-24 18:01:05
1022;126;2018-05-25 12:47:10
2250;148;2018-05-22 14:44:19
1301;140;2018-05-21 16:01:14
7095;116;2018-05-24 12:59:01
7002;131;2018-05-22 07:23:51
3066;180;2018-05-23 18:07:32
2008;720;2018-05-23 14:58:42
2083;143;2018-05-25 13:43:25
6059;150;2018-05-25 07:00:15
3095;503;2018-05-21 19:06:57
1147;227;2018-05-25 18:55:49
7035;118;2018-05-25 19:54:04
4037;401;2018-05-21 19:27:38
5048;105;2018-05-25 17:41:52
2006;125;2018-05-25 12:14:54
5040;190;2018-05-23 06:20:53
1959;L27;2018-05-21 17:18:36
1016;326;2018-05-23 10:17:29
4154;154;2018-05-25 12:23:26
3267;174;2018-05-25 20:37:07
7091;500;2018-05-24 16:50:50
7013;128;2018-05-21 18:25:01
3172;L-2;2018-05-24 08:38:26
1281;132;2018-05-24 15:43:52
5117;197;2018-05-21 12:38:34
3012;739;2018-05-21 17:20:44
2072;145;2018-05-24 10:19:54
4051;517;2018-05-25 18:34:49
7011;522;2018-05-21 13:46:14
1152;500;2018-05-23 05:35:51
4090;401;2018-05-25 12:01:58
1146;500;2018-05-23 13:04:51
1053;160;2018-05-23 15:11:02
2078;145;2018-05-24 12:16:53
5071;197;2018-05-23 14:47:02
3250;401;2018-05-22 15:57:01
3250;Z-1;2018-05-22 16:33:58
5002;520;2018-05-23 07:33:02
7069;108;2018-05-22 17:50:32
2107;158;2018-05-25 09:30:58
1320;240;2018-05-23 16:46:27
3061;180;2018-05-21 21:19:08
1141;162;2018-05-25 06:55:06
2043;219;2018-05-24 09:31:19
5041;105;2018-05-22 07:44:51
3027;519;2018-05-24 07:59:32
2067;143;2018-05-23 21:37:43
2034;119;2018-05-25 13:16:40
1121;512;2018-05-22 18:44:07
7016;222;2018-05-22 15:55:37
5055;122;2018-05-25 21:53:11
6043;114;2018-05-22 18:06:32
2362;123;2018-05-22 16:35:23
7016;520;2018-05-21 17:46:12
2296;720;2018-05-22 15:34:20
2148;507;2018-05-24 08:38:18
2083;143;2018-05-24 08:47:50
1028;120;2018-05-21 13:51:06
1882;L11;2018-05-23 21:00:56
2018;525;2018-05-25 09:31:17
5050;189;2018-05-23 20:51:36
2070;514;2018-05-21 19:06:18
3016;715;2018-05-22 07:46:52
2081;143;2018-05-24 21:17:20
3044;E-2;2018-05-22 07:40:49
1183;527;2018-05-22 21:58:16
4307;177;2018-05-23 10:46:53
3229;700;2018-05-23 08:48:41
6088;122;2018-05-25 07:20:58
5043;154;2018-05-23 19:03:34
2059;520;2018-05-23 22:24:55
3403;504;2018-05-24 07:19:33
4094;178;2018-05-24 12:35:00
3069;167;2018-05-23 08:46:46
1800;L11;2018-05-25 19:55:19
3079;162;2018-05-24 16:17:37
4042;158;2018-05-23 17:30:42
2060;173;2018-05-22 14:38:00
4015;141;2018-05-21 16:45:06
4224;194;2018-05-22 15:47:54
4005;136;2018-05-24 21:03:22
5024;520;2018-05-22 13:40:58
2102;168;2018-05-22 06:39:33
4232;717;2018-05-23 17:17:02
3058;159;2018-05-22 20:48:24
