bus_stop_id;line_id;query_datetime
7002;N72;2018-05-23 00:06:23
1220;N14;2018-05-22 23:27:16
1250;N01;2018-05-25 03:19:09
5028;N43;2018-05-25 01:03:58
5063;N01;2018-05-24 00:58:11
7006;N37;2018-05-22 02:22:48
1016;N13;2018-05-24 05:08:46
6077;N46;2018-05-23 01:52:12
4110;N35;2018-05-22 00:06:17
2037;N22;2018-05-25 01:20:15
1083;N64;2018-05-24 02:15:22
5009;N42;2018-05-21 00:45:27
3058;N83;2018-05-23 02:46:27
5106;N45;2018-05-23 00:14:52
7001;N66;2018-05-23 00:47:21
7002;N37;2018-05-25 02:12:27
6136;N46;2018-05-25 02:04:25
3030;N31;2018-05-25 00:18:17
7002;N42;2018-05-22 04:16:28
3009;N37;2018-05-22 02:31:53
7002;N44;2018-05-25 02:14:26
6168;N56;2018-05-23 02:05:34
3001;N31;2018-05-25 00:32:06
6059;N44;2018-05-25 01:23:12
7002;N36;2018-05-23 01:08:14
5039;N95;2018-05-25 02:25:48
1141;N12;2018-05-25 00:38:14
4110;N35;2018-05-24 00:07:07
1001;N02;2018-05-24 03:28:34
3237;N34;2018-05-23 01:24:57
7002;N36;2018-05-22 02:45:45
3242;N01;2018-05-25 03:00:44
2313;N72;2018-05-22 23:49:24
7013;N31;2018-05-25 02:18:44
7019;N12;2018-05-25 02:25:15
7002;N95;2018-05-21 00:18:48
3242;N36;2018-05-22 23:47:57
7014;N61;2018-05-25 03:18:22
5057;N01;2018-05-24 02:20:59
7002;N36;2018-05-24 01:36:42
1163;N16;2018-05-25 00:23:31
6059;N02;2018-05-22 00:00:02
7002;N32;2018-05-23 01:17:56
6075;N02;2018-05-25 01:07:21
3127;N37;2018-05-24 01:49:10
2060;N02;2018-05-22 01:48:26
3009;N37;2018-05-22 02:02:47
1342;N62;2018-05-22 00:59:30
4064;N88;2018-05-25 03:15:06
1008;N03;2018-05-22 00:14:44
7002;N21;2018-05-22 23:11:52
7002;N43;2018-05-25 01:13:38
6059;N46;2018-05-23 03:24:47
1218;N64;2018-05-23 02:52:18
1277;N03;2018-05-23 01:52:00
5161;N01;2018-05-25 00:01:17
3031;N03;2018-05-25 02:54:30
7083;N46;2018-05-22 01:54:19
3391;N81;2018-05-22 02:30:26
2279;N21;2018-05-23 01:21:20
3400;N34;2018-05-23 01:54:23
1253;N01;2018-05-23 01:13:49
6005;N13;2018-05-24 02:46:40
2014;N71;2018-05-22 00:24:09
3248;N36;2018-05-25 00:46:20
7010;N37;2018-05-25 23:33:48
3064;N33;2018-05-23 01:11:23
3086;N31;2018-05-22 23:46:57
2058;N25;2018-05-22 01:11:11
7091;N46;2018-05-22 23:27:09
7085;N42;2018-05-22 00:28:14
3005;N37;2018-05-23 00:30:18
5065;N01;2018-05-22 00:01:23
7013;N38;2018-05-24 02:12:10
7002;N42;2018-05-23 00:43:41
3114;N36;2018-05-24 23:54:50
1253;N03;2018-05-21 23:56:40
1054;N66;2018-05-24 02:36:14
7002;N95;2018-05-24 02:03:21
5021;N42;2018-05-24 02:41:44
4012;N88;2018-05-23 02:25:18
3298;N01;2018-05-24 01:14:29
2193;N72;2018-05-24 02:29:02
6005;N63;2018-05-24 01:18:09
3203;N34;2018-05-25 02:22:01
6008;N46;2018-05-23 02:45:32
2015;N22;2018-05-24 01:11:20
7003;N24;2018-05-24 01:21:45
4004;N88;2018-05-23 02:53:30
7012;N37;2018-05-22 01:21:26
7085;N42;2018-05-23 00:26:27
4045;N35;2018-05-23 00:29:55
2008;N03;2018-05-23 23:33:36
3004;N37;2018-05-24 00:56:54
5050;N42;2018-05-22 01:58:43
4196;N85;2018-05-24 00:50:46
6002;N44;2018-05-22 23:37:24
5034;N01;2018-05-21 00:29:36
2061;N25;2018-05-22 00:12:32
7084;N46;2018-05-22 02:29:42
