bus_stop_id;line_id;query_datetime
5086;N41;2018-05-27 00:43:00
2252;N72;2018-05-27 01:07:58
3030;N03;2018-05-26 01:31:46
4099;N35;2018-05-27 01:04:51
5077;N43;2018-05-26 00:14:50
3012;N34;2018-05-27 01:07:10
5074;N45;2018-05-26 02:21:16
2012;N21;2018-05-27 23:36:37
7002;N43;2018-05-27 02:07:23
1482;N16;2018-05-27 02:45:38
5012;N42;2018-05-27 00:48:00
1114;N64;2018-05-26 00:48:55
7002;N25;2018-05-27 00:08:19
2002;N03;2018-05-26 01:07:15
3242;N01;2018-05-27 00:27:03
6057;N44;2018-05-26 02:31:31
3231;N36;2018-05-27 23:53:34
7015;N42;2018-05-26 02:51:15
4005;N43;2018-05-27 23:25:33
5069;N45;2018-05-27 01:54:04
3298;N01;2018-05-26 02:09:50
2252;N72;2018-05-27 00:50:08
5042;N45;2018-05-27 23:56:05
1139;N62;2018-05-26 01:22:33
2362;N03;2018-05-27 02:46:35
5158;N41;2018-05-27 02:44:38
6806;N56;2018-05-27 01:51:26
1358;N11;2018-05-27 00:35:46
5069;N45;2018-05-27 00:55:28
6010;N46;2018-05-26 01:21:24
1306;N63;2018-05-26 02:18:26
1195;N01;2018-05-26 00:04:33
2015;N25;2018-05-26 02:41:51
1482;N16;2018-05-26 02:39:42
3098;N33;2018-05-27 00:35:09
7084;N46;2018-05-27 01:06:42
5021;N42;2018-05-27 01:26:20
4110;N35;2018-05-27 23:39:36
7003;N24;2018-05-27 23:23:34
3400;N37;2018-05-27 00:00:31
3098;N03;2018-05-27 01:55:09
5026;N45;2018-05-26 23:49:55
7011;N25;2018-05-26 02:22:12
2032;N25;2018-05-27 00:47:58
4039;N32;2018-05-26 00:54:58
5070;N45;2018-05-27 01:10:18
6046;N02;2018-05-27 01:00:00
7002;N31;2018-05-26 02:15:48
6022;N44;2018-05-26 02:40:28
6021;N44;2018-05-27 00:16:20
7086;N12;2018-05-27 03:56:51
1056;N61;2018-05-26 00:36:06
3033;N03;2018-05-27 00:27:44
3338;N37;2018-05-27 03:07:24
7014;N44;2018-05-27 01:02:56
1220;N64;2018-05-26 02:58:25
3144;N37;2018-05-27 02:35:41
7002;N95;2018-05-27 00:33:26
4195;N85;2018-05-26 00:45:59
1343;N62;2018-05-26 01:54:57
7071;N33;2018-05-26 00:23:34
5062;N01;2018-05-26 02:50:55
7033;N24;2018-05-27 01:58:25
3093;N03;2018-05-27 00:28:04
1153;N64;2018-05-27 01:07:27
5008;N42;2018-05-26 01:29:07
6013;N41;2018-05-26 00:22:15
7002;N61;2018-05-26 00:07:28
3241;N01;2018-05-27 01:55:26
7084;N62;2018-05-26 01:45:34
3138;N37;2018-05-26 01:50:39
7001;N11;2018-05-27 01:50:02
7013;N37;2018-05-26 23:33:29
3120;N01;2018-05-26 00:43:22
6026;N41;2018-05-26 00:41:22
3092;N33;2018-05-26 23:37:22
6059;N02;2018-05-26 02:17:26
3020;N83;2018-05-26 02:42:04
5039;N45;2018-05-26 23:51:48
3261;N33;2018-05-26 01:57:12
5050;N42;2018-05-26 01:34:30
5073;N95;2018-05-27 00:15:46
1220;N64;2018-05-27 02:55:59
7002;N43;2018-05-27 01:17:45
4038;N32;2018-05-27 00:31:32
5064;N01;2018-05-27 01:34:43
7002;N16;2018-05-26 03:36:01
2131;N24;2018-05-26 01:04:28
4047;N01;2018-05-26 00:11:42
7014;N44;2018-05-27 02:01:05
3044;N31;2018-05-27 23:34:53
1162;N64;2018-05-26 00:33:07
3122;N37;2018-05-26 01:48:10
4005;N88;2018-05-27 02:30:04
3267;N36;2018-05-26 23:57:33
7002;N21;2018-05-26 04:08:56
1006;N12;2018-05-27 02:11:26
7014;N61;2018-05-27 02:31:32
1139;N02;2018-05-26 23:23:23
2064;N25;2018-05-26 01:15:35
