bus_stop_id;bus_line_id;query_datetime
3121;401;2018-05-22 18:45:36
1203;120;2018-05-21 17:15:34
7077;171;2018-05-23 05:53:56
1041;138;2018-05-25 13:09:08
1202;132;2018-05-25 15:20:21
4292;733;2018-05-23 18:05:10
2145;411;2018-05-22 07:46:00
3267;193;2018-05-25 20:26:11
7002;517;2018-05-25 13:23:56
7043;178;2018-05-25 22:28:02
5003;190;2018-05-23 17:03:49
3256;168;2018-05-24 18:11:14
2014;143;2018-05-23 18:39:06
1153;169;2018-05-23 20:04:37
1152;169;2018-05-23 06:18:14
1146;500;2018-05-22 19:28:30
2364;245;2018-05-24 15:54:36
5067;136;2018-05-23 19:11:58
3248;193;2018-05-23 21:30:51
5108;190;2018-05-25 17:21:52
7002;158;2018-05-22 13:40:47
1095;326;2018-05-25 09:22:43
3270;165;2018-05-23 19:40:15
1472;E-7;2018-05-23 18:31:56
1138;160;2018-05-24 15:46:44
3116;222;2018-05-21 17:51:30
5040;105;2018-05-21 10:13:14
6059;750;2018-05-24 21:52:17
1060;190;2018-05-25 13:42:40
2086;143;2018-05-25 17:14:32
1478;735;2018-05-24 13:58:18
6031;110;2018-05-23 19:23:00
2244;115;2018-05-24 06:52:43
6133;134;2018-05-22 16:20:36
7049;E-2;2018-05-25 06:57:16
1045;338;2018-05-24 17:14:47
7027;128;2018-05-23 14:20:12
7072;162;2018-05-23 19:41:28
7093;187;2018-05-23 17:00:55
3250;401;2018-05-24 06:15:02
4006;414;2018-05-23 09:31:41
5047;189;2018-05-22 17:57:38
1056;340;2018-05-23 07:18:51
1015;735;2018-05-24 17:03:43
6055;303;2018-05-22 15:02:26
3044;519;2018-05-22 20:27:17
4221;517;2018-05-21 14:22:53
1002;120;2018-05-25 12:24:44
7039;107;2018-05-22 20:02:18
5161;121;2018-05-22 09:31:32
1057;190;2018-05-24 18:31:17
2149;111;2018-05-25 09:12:42
3400;179;2018-05-25 09:23:31
1126;126;2018-05-23 18:33:03
1005;166;2018-05-23 22:30:34
4049;189;2018-05-25 16:40:08
7002;131;2018-05-25 13:00:57
7042;518;2018-05-23 09:00:29
5157;107;2018-05-24 08:35:00
3094;189;2018-05-25 15:52:20
6048;180;2018-05-23 14:55:48
3240;Z-1;2018-05-22 16:52:22
2149;111;2018-05-25 06:45:50
7001;171;2018-05-21 14:33:06
4221;187;2018-05-23 20:09:50
5073;184;2018-05-21 17:49:53
2008;148;2018-05-25 13:22:06
1231;147;2018-05-21 16:21:19
4015;124;2018-05-25 11:07:47
3164;709;2018-05-25 18:28:54
7069;171;2018-05-23 15:20:54
2018;411;2018-05-21 18:16:38
1152;500;2018-05-23 07:50:44
3195;504;2018-05-21 16:34:10
4015;711;2018-05-25 16:52:03
3098;185;2018-05-23 20:22:50
7033;171;2018-05-24 10:04:10
1228;L11;2018-05-21 17:49:12
2001;146;2018-05-25 08:50:07
1285;134;2018-05-24 08:37:09
1053;140;2018-05-25 17:12:20
3100;401;2018-05-24 17:20:15
2040;521;2018-05-21 19:37:15
2174;213;2018-05-21 19:37:59
5050;154;2018-05-25 12:00:16
2052;521;2018-05-22 08:29:19
7065;166;2018-05-24 17:56:22
7006;520;2018-05-22 21:44:58
6077;157;2018-05-25 11:33:31
2253;117;2018-05-23 15:42:19
4048;191;2018-05-23 18:12:16
1159;240;2018-05-24 15:30:36
6133;518;2018-05-25 13:40:22
3292;185;2018-05-25 06:40:03
1253;518;2018-05-21 21:06:23
4044;ZP;2018-05-25 15:03:43
2145;411;2018-05-22 18:51:24
5008;171;2018-05-25 11:58:12
7085;527;2018-05-25 05:49:35
4032;172;2018-05-25 11:58:41
