"bus_stop_id";"bus_line";"query_datetime"
3087;119;2018-05-21 22:40:51
4048;517;2018-05-22 20:03:09
4044;154;2018-05-25 18:00:20
1193;723;2018-05-23 18:36:15
2008;183;2018-05-21 21:56:07
2146;509;2018-05-22 20:30:42
2008;183;2018-05-23 06:16:53
2104;525;2018-05-24 18:43:25
3018;709;2018-05-25 05:17:24
3009;710;2018-05-21 18:26:25
2008;148;2018-05-24 22:11:26
7042;116;2018-05-22 18:17:12
6059;N02;2018-05-23 03:02:44
1182;N11;2018-05-22 00:02:10
7037;138;2018-05-25 05:40:20
3001;131;2018-05-24 20:30:15
7040;166;2018-05-21 22:08:50
1882;L11;2018-05-25 21:51:06
1041;138;2018-05-25 05:24:01
2039;119;2018-05-21 21:34:42
3035;522;2018-05-25 20:18:42
7006;118;2018-05-24 20:02:39
2019;525;2018-05-22 06:47:37
1409;731;2018-05-25 20:36:23
1195;126;2018-05-23 20:02:04
7091;500;2018-05-24 19:35:17
5011;713;2018-05-22 20:52:06
7002;131;2018-05-24 06:58:11
6627;150;2018-05-23 05:37:40
1118;126;2018-05-21 21:24:50
7018;116;2018-05-25 21:58:57
7002;700;2018-05-23 19:53:43
2238;702;2018-05-24 19:04:18
1054;512;2018-05-25 05:06:53
5151;197;2018-05-24 06:32:46
1120;518;2018-05-24 06:43:37
7006;118;2018-05-22 19:40:01
3242;136;2018-05-22 06:17:09
1144;156;2018-05-22 06:04:35
6024;110;2018-05-21 21:40:03
3079;162;2018-05-24 21:56:50
1060;140;2018-05-24 20:50:02
4030;175;2018-05-22 06:43:44
4305;177;2018-05-22 20:30:09
2001;147;2018-05-21 18:38:27
4092;191;2018-05-25 19:08:55
3109;Z-1;2018-05-24 06:05:31
4223;127;2018-05-21 18:57:25
2011;143;2018-05-21 18:57:11
6155;122;2018-05-23 19:25:16
4047;ZW;2018-05-23 06:44:18
1156;114;2018-05-24 20:03:55
2108;523;2018-05-25 19:51:38
1027;741;2018-05-22 21:52:46
3009;709;2018-05-21 21:19:16
7006;519;2018-05-25 18:05:30
3280;503;2018-05-21 22:32:45
1458;738;2018-05-22 21:58:12
5157;527;2018-05-23 18:53:41
1144;500;2018-05-23 22:57:34
3282;N37;2018-05-24 02:57:51
6166;719;2018-05-22 20:42:56
4087;189;2018-05-22 18:04:47
4116;517;2018-05-24 19:09:14
2201;146;2018-05-21 23:37:05
1453;738;2018-05-25 06:24:12
1025;731;2018-05-22 22:49:24
3131;136;2018-05-22 23:54:42
1017;518;2018-05-25 21:56:22
5059;112;2018-05-22 23:22:23
4094;517;2018-05-23 06:12:39
5157;107;2018-05-23 21:00:51
1003;509;2018-05-23 05:38:29
1161;118;2018-05-21 21:03:36
2438;119;2018-05-25 05:32:24
3005;172;2018-05-21 18:24:52
1077;212;2018-05-24 21:17:28
7075;185;2018-05-25 22:12:28
4047;187;2018-05-25 18:10:14
6051;156;2018-05-23 21:43:48
3039;503;2018-05-24 05:16:47
1052;738;2018-05-24 00:17:46
1150;112;2018-05-23 21:22:04
3059;185;2018-05-25 05:28:52
7070;171;2018-05-25 05:59:18
5050;190;2018-05-21 20:16:57
1006;500;2018-05-25 18:56:32
3142;503;2018-05-22 22:10:28
1235;340;2018-05-24 05:02:37
5050;190;2018-05-23 19:45:22
2086;143;2018-05-23 19:19:50
2018;125;2018-05-25 06:29:57
3039;185;2018-05-24 21:16:32
7038;116;2018-05-25 18:58:29
1003;166;2018-05-21 21:15:09
1235;190;2018-05-23 05:57:24
5062;171;2018-05-25 06:05:35
3117;172;2018-05-21 18:22:42
2206;119;2018-05-21 19:06:08
6026;116;2018-05-24 21:45:14
