"bus_stop_id";"bus_line";"query_datetime"
4174;715;2018-05-27 22:46:58
3400;504;2018-05-26 20:14:05
7002;117;2018-05-27 20:05:59
3063;187;2018-05-27 18:16:37
4219;177;2018-05-26 06:28:28
3240;218;2018-05-26 06:04:27
1179;120;2018-05-26 05:54:01
5093;N95;2018-05-26 23:46:31
7006;131;2018-05-27 18:04:48
4015;728;2018-05-27 06:42:51
4092;191;2018-05-27 04:23:05
3063;185;2018-05-26 05:48:39
3009;218;2018-05-27 04:50:44
4093;178;2018-05-27 05:26:26
5042;171;2018-05-26 19:03:34
3320;709;2018-05-27 00:02:22
3027;519;2018-05-26 20:42:44
3094;189;2018-05-27 20:53:38
6095;385;2018-05-27 00:53:05
3009;709;2018-05-26 23:46:20
7002;N34;2018-05-26 00:17:04
3121;185;2018-05-26 21:08:09
3005;172;2018-05-26 19:14:30
7006;131;2018-05-27 01:51:34
6059;511;2018-05-27 20:05:11
2105;182;2018-05-26 06:07:55
5055;122;2018-05-26 22:12:00
7040;108;2018-05-26 18:25:53
4173;715;2018-05-26 05:40:51
2285;514;2018-05-26 05:59:15
2008;148;2018-05-26 18:35:37
2064;N02;2018-05-27 00:16:24
1041;138;2018-05-27 21:01:41
5050;109;2018-05-26 19:37:06
5001;Z-5;2018-05-27 06:11:53
3033;164;2018-05-26 06:32:25
2060;520;2018-05-27 21:28:30
4015;177;2018-05-27 18:18:11
5034;523;2018-05-26 06:03:16
6061;150;2018-05-26 05:36:16
7029;116;2018-05-27 22:53:53
3047;519;2018-05-26 04:54:58
5055;523;2018-05-26 18:03:18
1020;509;2018-05-26 23:26:48
4201;148;2018-05-27 05:04:13
3001;167;2018-05-27 06:03:20
1003;N16;2018-05-27 01:47:01
4043;182;2018-05-27 20:52:42
3058;185;2018-05-26 05:42:05
4033;136;2018-05-26 22:29:28
5043;109;2018-05-26 18:29:15
7013;171;2018-05-26 20:50:45
4008;154;2018-05-27 18:04:24
6048;116;2018-05-26 06:01:12
2285;514;2018-05-27 20:01:05
2039;521;2018-05-27 22:48:32
4343;187;2018-05-27 21:11:25
7067;105;2018-05-26 20:09:22
7006;118;2018-05-27 19:33:50
5050;105;2018-05-27 18:26:01
6047;122;2018-05-26 06:07:25
1036;138;2018-05-26 23:18:21
7013;131;2018-05-27 18:32:23
4221;197;2018-05-26 20:00:56
3258;N33;2018-05-26 00:06:13
4217;129;2018-05-26 19:41:12
4005;208;2018-05-27 18:12:18
2008;523;2018-05-27 20:45:02
3026;116;2018-05-26 06:44:32
4284;178;2018-05-26 21:12:18
6808;150;2018-05-26 19:12:51
7093;143;2018-05-27 22:04:00
4101;127;2018-05-27 19:13:22
1055;N02;2018-05-27 23:58:12
7015;107;2018-05-27 05:31:01
5074;184;2018-05-26 18:26:16
7026;111;2018-05-27 20:56:02
3390;136;2018-05-26 18:44:41
6027;110;2018-05-27 05:18:12
3317;163;2018-05-27 21:05:44
4015;706;2018-05-26 21:49:15
4123;191;2018-05-27 20:04:06
4119;184;2018-05-26 19:33:39
3028;116;2018-05-26 18:00:27
3131;179;2018-05-26 22:59:18
7002;N95;2018-05-27 02:06:54
4877;ZP;2018-05-27 06:14:37
4032;128;2018-05-27 20:54:43
4877;ZP;2018-05-27 06:31:57
5001;105;2018-05-27 20:40:19
7006;131;2018-05-27 02:54:21
1013;734;2018-05-27 06:21:33
4877;ZP;2018-05-26 22:43:49
7099;190;2018-05-26 19:04:14
4100;517;2018-05-26 04:41:04
6091;103;2018-05-26 06:39:03
2322;115;2018-05-27 18:59:22
3006;218;2018-05-26 05:57:47
6131;197;2018-05-27 19:04:14
2110;188;2018-05-27 20:07:40
