"bus_stop_id";"bus_line";"query_datetime"
1479;731;2018-05-27 10:40:16
5192;105;2018-05-26 09:23:32
4046;187;2018-05-26 15:45:25
1001;738;2018-05-27 14:40:06
3047;519;2018-05-26 09:21:25
4102;127;2018-05-26 17:05:23
6003;122;2018-05-26 16:08:19
2140;509;2018-05-26 13:15:53
3127;179;2018-05-26 10:29:18
1800;L41;2018-05-27 07:25:35
6118;L18;2018-05-26 16:15:05
4130;207;2018-05-26 08:41:02
5043;105;2018-05-27 16:30:57
4044;ZP;2018-05-27 07:22:59
6133;705;2018-05-26 08:58:00
2105;168;2018-05-27 08:00:39
1152;500;2018-05-27 13:22:26
2103;502;2018-05-27 18:33:14
6054;184;2018-05-27 17:03:45
4216;194;2018-05-27 17:28:39
4267;703;2018-05-26 18:21:54
1017;509;2018-05-26 13:57:38
4119;521;2018-05-26 08:01:13
3044;724;2018-05-27 13:11:44
3229;174;2018-05-26 15:08:19
3145;136;2018-05-26 16:06:08
2415;151;2018-05-27 09:46:01
3243;165;2018-05-26 14:37:29
3085;180;2018-05-26 16:31:26
7011;118;2018-05-27 15:18:53
4234;717;2018-05-26 17:02:32
7013;158;2018-05-27 06:55:25
7069;162;2018-05-27 14:40:10
4084;189;2018-05-27 18:33:20
3145;136;2018-05-26 10:34:22
7043;105;2018-05-27 14:56:41
1295;134;2018-05-26 09:26:22
2032;525;2018-05-26 16:37:43
1208;731;2018-05-26 13:24:32
1152;227;2018-05-26 16:38:11
7091;500;2018-05-27 10:38:50
4103;129;2018-05-26 12:20:16
7091;500;2018-05-26 14:31:24
2008;141;2018-05-26 18:17:46
4154;184;2018-05-26 16:28:42
4196;ZP;2018-05-26 08:16:10
1267;735;2018-05-26 13:17:24
1017;705;2018-05-26 10:26:22
4039;175;2018-05-26 08:21:17
6059;184;2018-05-26 11:01:37
3139;136;2018-05-26 07:22:18
3243;189;2018-05-26 13:55:59
6133;157;2018-05-26 15:11:48
5052;149;2018-05-27 18:06:59
3178;700;2018-05-27 12:05:31
2297;730;2018-05-27 11:00:19
1359;527;2018-05-26 17:58:58
7016;520;2018-05-27 11:13:05
2101;182;2018-05-26 10:43:43
6625;150;2018-05-26 08:26:44
6016;150;2018-05-27 13:33:45
6071;181;2018-05-26 14:13:15
5050;190;2018-05-27 13:27:12
7052;178;2018-05-26 08:23:53
3195;504;2018-05-26 10:30:05
5194;171;2018-05-27 15:38:47
3266;193;2018-05-26 17:32:26
6059;156;2018-05-26 07:44:43
1019;731;2018-05-27 08:24:03
1017;518;2018-05-27 11:03:37
2313;117;2018-05-27 14:49:07
1003;169;2018-05-26 08:29:06
2110;523;2018-05-26 12:45:00
6005;132;2018-05-27 15:44:36
2097;502;2018-05-27 15:36:46
5050;105;2018-05-27 11:29:10
6016;750;2018-05-27 13:11:27
4219;197;2018-05-27 12:21:05
7101;503;2018-05-27 14:42:04
1281;134;2018-05-26 10:48:59
2153;138;2018-05-26 18:54:20
3098;166;2018-05-26 14:30:20
3031;501;2018-05-26 14:48:49
1003;190;2018-05-26 09:13:42
2148;111;2018-05-27 17:48:22
7014;175;2018-05-27 16:29:54
1147;227;2018-05-27 10:53:23
4033;175;2018-05-27 18:30:01
2008;188;2018-05-26 12:04:51
3086;141;2018-05-26 08:57:07
3200;179;2018-05-26 13:30:07
2088;115;2018-05-26 07:59:38
3243;504;2018-05-26 13:33:57
1137;160;2018-05-26 08:31:05
3094;501;2018-05-27 15:35:29
3036;116;2018-05-26 11:09:38
6098;114;2018-05-26 10:04:59
6005;134;2018-05-26 11:25:34
5014;713;2018-05-26 16:16:43
1071;169;2018-05-27 08:08:03
