"bus_stop_id";"bus_line";"query_datetime"
3047;519;2018-05-21 16:51:43
5042;171;2018-05-21 17:36:02
4121;187;2018-05-23 16:36:39
5008;184;2018-05-25 17:17:10
6119;708;2018-05-24 17:04:27
5081;149;2018-05-24 09:45:16
1290;120;2018-05-23 08:05:50
1404;516;2018-05-23 17:20:05
4018;124;2018-05-24 07:59:47
1054;160;2018-05-24 15:01:33
2131;111;2018-05-23 18:16:46
5014;105;2018-05-22 17:20:43
4154;167;2018-05-23 08:13:06
3250;Z-1;2018-05-21 16:19:50
4235;717;2018-05-21 10:39:11
1188;L41;2018-05-21 16:32:10
1152;169;2018-05-23 15:02:26
5011;713;2018-05-21 13:59:30
6003;116;2018-05-21 15:09:36
3027;503;2018-05-23 07:53:43
3030;116;2018-05-22 11:31:10
1002;166;2018-05-22 11:58:53
5010;105;2018-05-24 08:47:51
3072;108;2018-05-24 18:10:43
1765;L38;2018-05-21 15:23:22
1280;E-9;2018-05-23 06:48:06
7001;171;2018-05-23 09:49:35
5042;105;2018-05-23 15:57:27
4051;158;2018-05-23 08:08:46
6059;511;2018-05-24 17:40:22
7081;500;2018-05-25 17:24:02
2105;182;2018-05-25 07:39:01
3043;E-2;2018-05-24 17:28:48
5049;189;2018-05-25 07:26:55
3097;401;2018-05-24 18:47:33
7027;175;2018-05-23 16:23:40
3243;Z-1;2018-05-24 16:34:32
7073;141;2018-05-23 07:02:45
3058;131;2018-05-25 08:55:58
7085;160;2018-05-24 06:43:44
1054;527;2018-05-22 07:32:26
4134;191;2018-05-24 16:28:15
7069;318;2018-05-24 17:40:58
6131;122;2018-05-25 16:01:05
2111;523;2018-05-22 16:10:14
7027;175;2018-05-25 18:14:44
1003;340;2018-05-24 18:41:41
2097;111;2018-05-21 10:56:57
7073;108;2018-05-25 16:04:34
1326;527;2018-05-24 18:13:39
2026;525;2018-05-25 13:16:27
3045;139;2018-05-24 15:25:23
4090;189;2018-05-24 14:00:41
5073;397;2018-05-23 14:42:00
2018;125;2018-05-25 10:20:27
1164;227;2018-05-24 14:37:35
2191;147;2018-05-22 06:02:09
4118;157;2018-05-22 09:19:11
6038;L-7;2018-05-25 15:07:59
4202;175;2018-05-25 14:51:38
7037;520;2018-05-25 06:16:16
2058;183;2018-05-22 15:31:51
2097;523;2018-05-25 16:43:17
4119;128;2018-05-21 13:19:25
1221;340;2018-05-25 16:32:59
3011;192;2018-05-25 14:21:50
3320;709;2018-05-21 14:24:34
3130;136;2018-05-25 18:25:27
2321;183;2018-05-22 06:02:35
1006;500;2018-05-22 06:10:55
3180;700;2018-05-23 08:00:47
2097;523;2018-05-22 08:04:04
3117;172;2018-05-25 08:45:11
3263;317;2018-05-23 17:27:03
3001;519;2018-05-23 13:49:54
4837;ZW;2018-05-21 15:39:37
7074;185;2018-05-25 16:17:35
5063;112;2018-05-25 09:40:19
3207;179;2018-05-23 07:55:10
3292;185;2018-05-24 18:53:19
4041;158;2018-05-24 08:31:42
7013;521;2018-05-25 06:14:04
4201;331;2018-05-24 17:17:46
2079;702;2018-05-25 17:28:58
6006;150;2018-05-23 07:15:26
1231;125;2018-05-23 17:41:00
2001;146;2018-05-25 16:41:54
4015;154;2018-05-24 15:59:52
3018;709;2018-05-24 17:13:52
7042;111;2018-05-22 15:29:56
3039;402;2018-05-24 18:00:15
3248;189;2018-05-23 09:33:46
7041;521;2018-05-25 09:21:49
2207;119;2018-05-24 16:42:33
7069;171;2018-05-23 08:54:37
7032;107;2018-05-24 12:44:55
7015;105;2018-05-25 17:07:01
2191;702;2018-05-25 18:17:46
5046;105;2018-05-21 12:57:36
4119;157;2018-05-23 11:23:36
